ATTACK_ID,DATE,LOCATION ,DESCRIPTION,DATA_SOURCES,TYPE,AFFILIATION,AFFLIATION_CLAIMED?,PART_OF,OFFICIAL_OR_INSPIRED,MUSLIM_MAJORITY_NATION,TOTAL_DEATHS,TOTAL_CASUALITIES,CHILD_DEATHS,CHILD_CASUALTIES,FORCED_TO_FLEE,ECONOMIC_COST,ORGANIZED_OR_REACTIVE,WEAPON_USED,MODUS_OPERANDI,SURVEILLED,PRIOR SUSPICION,ACTED_ALONE_OR_IN_GROUP
Required. Use date without dashes + first 3 letters of location + a counter number (for multiple attacks),Required. Write in yyyy-mm-dd,Required,Description of the event,Links to Sources,Type of Attack,Who is the attack affiliated with? ,Did they take responsibility? (TRUE/FALSE),What conflict or agenda?,Was attacker an official member or sympathizer?,(TRUE/FALSE),"Include perpetrators
Assume to add # of perpetrators if not confirmed. ",total deaths+ injuried,If specified,If specified,If Specified,If Specified,Planned or spur,Name or category of Weapon,Method/Approach,Are the attackers known members of groups?  (TRUE/FALSE),"Was there any suspicion of attacker before incident of Attack?
(TRUE/FALSE)",Lone Attacker or multiple?
20160726FRA1,2016-07-26,France,"A priest's throat was slit and four nuns were taken hostage in a church in Rouen, France. The IS-linked Amaq news agency said ""two soldiers of the Islamic State"" had carried out the attack. The two terrorists were shot dead by the French authorities. One of the men was known to the French intelligence services (as reported by French TV channel M6) and was on the French government's terror watch-list, known as the S list.[248]","https://en.wikipedia.org/wiki/List_of_Islamist_terrorist_attacks
https://en.wikipedia.org/wiki/2016_Normandy_church_attack
https://en.wikipedia.org/wiki/List_of_terrorist_incidents_in_July_2016




","Melee Attack, hostage-taking",IS,TRUE,IS,INSPIRED,FALSE,3,6,0,0,0,0,ORGANIZED,Knife,Ambush,TRUE,,Group
20160724GER,2016-07-24,Germany,"A suicide bombing outside a wine bar in Ansbach, Germany, in which a bomber tried to bomb a large music festival going on at the time. After detonation, he injured 15, 4 seriously. Many videos were discovered of him pledging allegience to ISIL and Abu Bakr al-Baghdadi. The bomber was the only fatality.[247]",http://www.cnn.com/2016/07/24/world/ansbach-germany-blast/index.html,Suicide Bomb,IS,TRUE,IS,INSPIRED,FALSE,1,16,0,0,0,0,ORGANIZED,Bomb,Suicide Bomb,FALSE,,Alone
20160718GER,2016-07-18,Germany,"A 17-year-old Afghan refugee injured five people seriously, two critically, with a knife and hatchet on a train near Würzburg. The attacker was shot dead when he attacked the arriving police officers.[246]",https://en.wikipedia.org/wiki/2016_W%C3%BCrzburg_train_attack,Melee Attack,IS,FALSE,IS,INSPIRED,FALSE,1,6,0,0,0,0,ORGANIZED,"Knife, Axe",Train Ambush,FALSE,,Alone
20160707IRA,2016-07-7,Iraq,"A coordinated attack involving suicide car bombers, suicide bombers on foot, and gunmen against the mausoleum of Muhammad ibn Ali al-Hadi, a Shi'ite holy site in Baghdad, killed at least 56 people and injured 75. ISIL claimed responsibility.[245]",https://en.wikipedia.org/wiki/List_of_terrorist_incidents_in_July_2016 http://www.rferl.org/content/twenty-dead-attack-shiite-mausoleum-north-baghdad-iraq/27845527.html,"Suicide Bombing, Shooting",IS,TRUE,Iraqi Civil War,OFFICIAL,TRUE,59+,134+,1+,1+,0,0,ORGANIZED,"Bomb, Firearms","Car Bomb, Suicide Bomb, Shooting",FALSE,,Group
20160704INO,2016-07-4,Indonesia,"A suicide bomber has attacked a police station in Central Java, killing himself and injuring a police officer.[244]",http://time.com/4392782/indonesia-suicide-bomber-solo-surakarta-terrorism/ ,Suicide Bomb,IS,FALSE,IS,OFFICIAL,TRUE,1,2,0,0,0,0,ORGANIZED,Bomb,Suicide Bomb,FALSE,,Alone
2016003IRA,2016-07-3,Iraq,Baghdad bombings Two coordinated bomb attacks killed over 300 people and injured over 221 others.[243],http://www.cnn.com/2016/07/02/middleeast/baghdad-car-bombs/,Suicide Bomb,IS,TRUE,Iraqi Civil War,OFFICIAL,TRUE,343+,589+,25+,25+,0,0,ORGANIZED,Bomb,"Car Bomb, Suicide Bomb,",FALSE,,Group
20160701BAN,2016-07-1,Bangladesh,"Gunmen killed 20 hostages. 13 hostages were rescued, two police officers, and six terrorists were killed. One terrorist is in custody. ISIL has claimed responsibility, but according to Bangladeshi officials, the attack was carried out by homegrown militant group Jamaat-ul-Mujahideen Bangladesh.[242]",https://en.wikipedia.org/wiki/July_2016_Dhaka_attack,"Shooting, Hostage-taking",IS,TRUE,Bangladeshi Internal Conflict,OFFICIAL,TRUE,29,79,0,0,0,0,ORGANIZED,"Firearms, Bomb, Swords","Shooting, Hostage-taking",FALSE,,Group
20160622PAK,2016-06-22,Pakistan,"Assassination of Amjad Sabri, claimed by a splinter group of the Pakistani Taliban who accused Sabri of blasphemy.[241]",http://tribune.com.pk/story/1128177/two-injured-amjad-sabris-car-comes-attack-karachi/,Shooting,Taliban,TRUE,War in North-West Pakistan,OFFICIAL,TRUE,1,3,0,0,0,0,ORGANIZED,Firearms,Drive-by shooting,FALSE,,Group
20160621JOR,2016-06-21,Jordan,"ISIS Soldier infiltrates refugee camp at a Jordanian army post near Rukban, killing 6 and wounding 14.[239] ISIL later claimed responsibility.[240]",http://jordantimes.com/news/local/6-troops-killed-14-injured-car-bomb-attack-syria-border?platform=hootsuite,Suicide Bomb,IS,TRUE,Syrian Civil War,OFFICIAL,TRUE,7,21,0,0,0,0,ORGANIZED,Bomb,Suicide Car Bomb,FALSE,,Group
20160614FRA,2016-06-14,France,"Two French citizens, a police officer and his wife were stabbed to death in Magnanville, France by a man swearing his allegiance to ISIL.[238]",https://en.wikipedia.org/wiki/2016_Magnanville_stabbing,Melee Attack,IS,TRUE,IS,OFFICIAL,FALSE,3,3,0,0,0,0,ORGANIZED,Knife,Ambush,FALSE,TRUE,Alone
20160612USA,2016-06-12,United States,"49 people were killed and 53 injured in a mass shooting at a nightclub in Orlando, Florida. The shooter, Omar Mateen, pledged allegiance to ISIL by specifically calling police and journalists several times during the incident.[236][237]",https://en.wikipedia.org/wiki/2016_Orlando_nightclub_shooting,Shooting,IS,TRUE,IS,INSPIRED,FALSE,50,103,0,0,0,0,ORGANIZED,Firearms,Shooting,FALSE,TRUE,Alone
20160511IRA,2016-05-11,Iraq,At least 40 people were killed and 60 injured in a car bomb attack on a market in Baghdad. ISIL claims responsibility.[235],https://www.washingtonpost.com/world/bombing-in-baghdad-market-kills-dozens-in-deadliest-attack-in-months/2016/05/11/1d1ec87f-08b8-4a9f-9b9d-2b70f8dcc229_story.html,Suicide Bomb ,IS,TRUE ,IS,OFFICIAL,TRUE,50,93,0,0,0,0,ORGANIZED,Bomb,Suicide Car Bomb,FALSE,TRUE,Group
20160425BAN,2016-04-25,Bangladesh,"Two gays rights activists were hacked to death in the capital of Bangladesh, Dhaka. An Al-Qaeda affiliated group claimed responsibility for the attacks and stated they killed the two as they were ""pioneers of practicing [sic] and promoting homosexuality in Bangladesh"".[233][234]","http://www.cnn.com/2016/04/25/asia/bangladesh-u-s-embassy-worker-killed/index.html
",Melee Attack,Al-Qaeda,TRUE,Bangladeshi Internal Conflict,OFFICIAL,TRUE,2,2,0,0,0,0,ORGANIZED,Sword,SURPRISE ATTACK,FALSE,,GROUP
20160423BAN,2016-04-23,Bangladesh,"Attackers hacked a university professor to death in the city of Rajshahi, Bangladesh. ISIL claimed responsibility for the attack stating that they assassinated him ""for calling to atheism in the city of Rajshahi in Bangladesh"".[231][232]","http://www.aljazeera.com/news/2016/04/professor-hacked-death-bangladesh-160423075449570.html       
http://www.cnn.com/2016/04/23/asia/bangladesh--professor-hacked/index.html
http://www.bbc.com/news/world-asia-36125115
https://www.theguardian.com/world/2016/apr/23/bangladeshi-professor-hacked-to-death-rajshahi-islamists",Melee Attack,IS,TRUE,Bangladeshi Internal Conflict,OFFICIAL,TRUE,1,1,0,0,0,0,ORGANIZED,Sword,STABBING,FALSE,,GROUP
20160419AFG,2016-04-19,Afghanistan,"The April 2016 Kabul attack targeted a security team responsible for protecting government VIPs in Kabul, Afghanistan. The attack killed 64 people and wounded 347. It was the Taliban's biggest attack on an urban area since 2001.[230]",http://www.usnews.com/news/articles/2016-04-19/dozens-killed-hundreds-wounded-in-massive-taliban-attack-in-kabul,Suicide Bomb,TALIBAN,TRUE,Iraqi Civil War ,OFFICIAL,TRUE,28,350+,0,0,0,0,ORGANIZED,Bomb,Suicide Car Bomb,FALSE,,GROUP
20160327PAK,2016-03-27,Pakistan,"The 2016 Lahore suicide bombing targeted Christians who had gathered on Easter in Gulshan-e-Iqbal Park. The blast, by Jamaat-ul-Ahrar, a Pakistani Taliban faction, killed at least 70 people and injured 300 others.[228][229]",http://www.foxnews.com/world/2016/03/28/pakistan-prime-minister-vows-crackdown-on-terror-following-easter-bombing-that-killed-70.html,Suicide Bomb,IS,TRUE,IS,official,TRUE,70,370,0,0,0,0,organized,Bomb,suicice bombing,TRUE,TRUE,Alone
20160325YEM,2016-03-25,Yemen,"Three ISIL suicide bombers strike security checkpoints in the Yemeni city of Aden, killing 26 people.[224][225]",http://www.aljazeera.com/news/2016/03/isil-claims-triple-suicide-attacks-yemen-aden-160325203607127.html,Suicide Bomb,IS,TRUE,IS,official,TRUE,26,29,0,0,0,0,organized,Bomb,suicide car bomb ,FALSE,,group 
